columna,descripción,tipo,%_nulos,ejemplo
title,Nombre del videojuego.,object,0.0,Tekken 3
summary,Resumen/reseña corta (texto base para NLP).,object,0.003,"An ancient evil force has reawakened, attacking in secret and feeding on the souls of mighty warriors. To lure it out of hiding will take the greatest fighting contest the world has ever seen...Tekken 3. Some are fighting for revenge, some for honor, Ultimately, all are fighting for their lives and the fate of all mankind."
metascore,Puntaje numérico del crítico (0-100).,object,0.0,96
genre,"Género principal (ej. RPG, Fighting).",object,0.0,3D Fighting
publisher,Editorial/estudio que publica el juego.,object,0.0,Namco
release_date,Fecha de lanzamiento.,object,0.002,1998-04-29
platform,"Plataforma (PC, PlayStation, etc.).",object,0.0,PlayStation
url,Enlace a la ficha en Metacritic.,object,0.0,https://www.metacritic.com/game/tekken-3
text,Texto modelado (summary limpio).,object,0.391,"An ancient evil force has reawakened, attacking in secret and feeding on the souls of mighty warriors. To lure it out of hiding will take the greatest fighting contest the world has ever seen...Tekken 3. Some are fighting for revenge, some for honor, Ultimately, all are fighting for their lives and the fate of all mankind."
label,"Objetivo binario (1=bueno, 0=malo).",float64,0.391,1.0
