term,weight
movie,-2.2106250671868612
different,-1.9738108953807976
interactive,-1.7813380845780373
film,-1.7597474457098683
action,-1.7299329799915886
the player,-1.6974253254872562
horror,-1.455869071623901
games,-1.4099280325860106
game,-1.3396490361237776
missions,-1.2867232992071296
the game,-1.268708089700987
which,-1.2440075592508542
arcade,-1.2371135010130028
seven,-1.2289056726039675
exciting,-1.2078226462924324
shooter,-1.178732062547722
fishing,-1.176368613522498
tv,-1.1629515577434182
series of,-1.150342117532059
evil,-1.14575836318234
animals,-1.1452562809945586
majesco,-1.1397304454847226
takes,-1.1362441564746661
famous,-1.1109739983281408
mini games,-1.1061100728430557
the movie,-1.09466350888377
postal,-1.0908845635287547
samurai,-1.0898914426894017
virtual,-1.0855172843492837
gamers,-1.078806869721826
universe,-1.0742378008796356
third person,-1.0386049172706635
action game,-1.027635042784935
back to,-1.0239140250425198
their,-1.0175346370271163
animated,-1.0154038532337692
soccer,-1.0153246040503356
entertainment,-1.0129868600152079
3d,-1.0106661988018701
party,-0.9904904398716329
crazy,-0.9808289378791166
the evil,-0.9778570348673726
sports,-0.9533455038891793
as they,-0.9496163741825917
tv series,-0.9490120475888771
based on,-0.9474573125836674
battle,-0.9409284561425538
bowling,-0.933305900585293
dreamcatcher,-0.9192568995896631
good,-0.9154709842327076
