term,weight
new,4.611949910322009
mario,1.9315071823890977
expansion,1.5759978400984238
ea,1.529273660436682
story,1.459098275399576
about,1.3943269336048678
sims,1.3878188053405451
returns,1.2977416785387283
electronic,1.2855882060893642
journey,1.2812383321382572
electronic arts,1.2743045990161632
edition,1.2679853720583314
sequel to,1.2549975915428295
franchise,1.2518101361738454
fate,1.2328944170588383
sequel,1.224776808799235
version of,1.2130883389868585
max,1.204628689772052
ea sports,1.1993944006899564
rhythm,1.1672773291491394
collection,1.1438368851641472
capcom,1.143101336799246
version,1.1365320213171066
creators,1.1209637582411005
acclaimed,1.1057323334388696
puzzle,1.0927327084376377
new features,1.0915810400247157
the galaxy,1.0771792576602475
pinball,1.0636234112732934
link,1.0420809534652178
game in,1.0352812678080614
rally,1.0294861356381217
ii,1.0267466916901782
the sequel,1.0173910797008021
second,1.016093223128602
persona,1.0136885189250584
change,1.0098303211533384
challenges,1.0023225029168368
living,0.9966833824420422
ever,0.9754741727660439
award winning,0.9726830941689518
war,0.9691827845721173
bit,0.9612295922211223
allowing,0.9426594482514222
metal,0.9422217475361465
online,0.9411129897294099
remastered,0.9393497788523177
retro,0.9360898801515312
kirby,0.9178469280382451
turn based,0.9132084074089197
